,CITY,REFERENCE TAX INCOME,UNEMPLOYMENT RATE,RSA BENEFICIARIES,Average net monthly salaries,Percentage of employees on permanent contracts,Number of companies,Average wealth tax per household n/a,CAF beneficiaries,Population
0,Denain,12878.0,35.18%,9.78%,1900.41,74.20%,1573.0,nc,31.10%,20415.0
1,Boulogne-sur-Mer,16981.0,26.66%,7.23%,1995.09,74.94%,2524.0,nc,30.44%,40588.0
2,Hautmont,16150.0,32.36%,8.34%,1967.82,77.21%,476.0,nc,28.30%,14318.0
3,Creil,15421.0,24.99%,6.48%,2009.37,75.70%,2221.0,nc,26.86%,35970.0
4,Fourmies,16197.0,29.81%,8.88%,1969.44,76.86%,487.0,nc,30.02%,11403.0
5,Lens,16379.0,28.64%,8.20%,2007.95,79.12%,2133.0,nc,30.74%,32458.0
6,Sallaumines,14686.0,24.23%,7.60%,1943.31,75.04%,392.0,nc,28.46%,9575.0
7,Sedan,16514.0,27.96%,9.07%,2027.38,76.74%,1024.0,nc,31.77%,16376.0
8,LaCourneuve,14985.0,25.35%,6.29%,1899.47,79.88%,4426.0,nc,24.87%,46828.0
9,Bruay-la-Buissière,16440.0,24.60%,6.64%,1983.75,79.50%,1024.0,nc,28.41%,21953.0
10,Hirson,15276.0,30.48%,8.15%,1939.65,78.55%,327.0,nc,26.92%,8685.0
11,Roubaix,15061.0,31.10%,10.60%,2068.25,77.12%,7992.0,nc,33.42%,98066.0
12,Anzin,15398.0,27.68%,7.52%,1992.07,77.82%,772.0,nc,31.22%,13195.0
13,Caudry,17139.0,29.58%,7.55%,2009.02,76.47%,732.0,nc,28.49%,14028.0
14,LaChapelle-Saint-Luc,16417.0,29.07%,7.18%,1957.03,78.64%,754.0,nc,28.08%,12324.0
15,Tarbes,18402.0,21.30%,5.62%,2010.03,74.94%,3721.0,nc,35.35%,42925.0
16,Grigny,14939.0,22.13%,5.45%,1882.59,78.68%,1979.0,nc,24.21%,27571.0
17,Maubeuge,16188.0,33.35%,8.25%,2063.01,76.97%,1480.0,nc,28.26%,29625.0
18,Condé-sur-l'Escaut,15572.0,28.68%,8.19%,1996.56,78.54%,344.0,nc,28.22%,9445.0
19,LeCateau-Cambrésis,15347.0,30.71%,8.90%,1925,75.75%,345.0,nc,28.99%,7016.0
20,Stains,15715.0,21.88%,6.81%,1988.16,79.26%,2953.0,nc,26.07%,39193.0
