,VILLE,REVENU FISCAL DE RÉFÉRENCE,TAUX DE CHÔMAGE,BÉNÉFICIAIRES DU RSA,Salaires mensuels nets moyens,Pourcentage de salariés en CDI,Nombres d'entreprises,ISF moyen par foyer nc,Bénéficiaires de la CAF,Population
0,"<td><a href=""https://www.linternaute.com/ville/denain/ville-59172"">Denain</a></td>",<td>12 878 €</td>,"<td>35,18 %</td>","<td>10,16 %</td>","<td>1 813,11 €</td>","<td>74,20 %</td>",<td>1 573 entreprises</td>,<td>nc</td>,"<td>32,29 %</td>",<td>19 933 hab.</td>
1,"<td><a href=""https://www.linternaute.com/ville/hautmont/ville-59291"">Hautmont</a></td>",<td>16 150 €</td>,"<td>32,36 %</td>","<td>8,15 %</td>","<td>1 884,92 €</td>","<td>77,21 %</td>",<td>476 entreprises</td>,<td>nc</td>,"<td>27,65 %</td>",<td>14 601 hab.</td>
2,"<td><a href=""https://www.linternaute.com/ville/sedan/ville-08409"">Sedan</a></td>",<td>16 514 €</td>,"<td>27,96 %</td>","<td>9,36 %</td>","<td>1 922,25 €</td>","<td>76,72 %</td>",<td>1 024 entreprises</td>,<td>nc</td>,"<td>32,79 %</td>",<td>16 193 hab.</td>
3,"<td><a href=""https://www.linternaute.com/ville/creil/ville-60175"">Creil</a></td>",<td>15 421 €</td>,"<td>24,99 %</td>","<td>6,46 %</td>","<td>1 929,70 €</td>","<td>75,70 %</td>",<td>2 221 entreprises</td>,<td>nc</td>,"<td>26,81 %</td>",<td>35 800 hab.</td>
4,"<td><a href=""https://www.linternaute.com/ville/fourmies/ville-59249"">Fourmies</a></td>",<td>16 197 €</td>,"<td>29,81 %</td>","<td>8,80 %</td>","<td>1 887,56 €</td>","<td>76,86 %</td>",<td>487 entreprises</td>,<td>nc</td>,"<td>29,74 %</td>",<td>11 714 hab.</td>
5,"<td><a href=""https://www.linternaute.com/ville/sallaumines/ville-62771"">Sallaumines</a></td>",<td>14 686 €</td>,"<td>24,23 %</td>","<td>7,64 %</td>","<td>1 828,43 €</td>","<td>75,04 %</td>",<td>392 entreprises</td>,<td>nc</td>,"<td>28,62 %</td>",<td>9 654 hab.</td>
6,"<td><a href=""https://www.linternaute.com/ville/bruay-la-buissiere/ville-62178"">Bruay-la-Buissière</a></td>",<td>16 440 €</td>,"<td>24,60 %</td>","<td>6,62 %</td>","<td>1 867,21 €</td>","<td>79,47 %</td>",<td>1 024 entreprises</td>,<td>nc</td>,"<td>28,31 %</td>",<td>21 851 hab.</td>
7,"<td><a href=""https://www.linternaute.com/ville/la-courneuve/ville-93027"">La Courneuve</a></td>",<td>14 985 €</td>,"<td>25,35 %</td>","<td>6,59 %</td>","<td>1 767,75 €</td>","<td>79,88 %</td>",<td>4 426 entreprises</td>,<td>nc</td>,"<td>26,03 %</td>",<td>43 946 hab.</td>
8,"<td><a href=""https://www.linternaute.com/ville/maubeuge/ville-59392"">Maubeuge</a></td>",<td>16 188 €</td>,"<td>33,35 %</td>","<td>8,10 %</td>","<td>1 966,78 €</td>","<td>76,97 %</td>",<td>1 480 entreprises</td>,<td>nc</td>,"<td>27,76 %</td>",<td>29 632 hab.</td>
9,"<td><a href=""https://www.linternaute.com/ville/caudry/ville-59139"">Caudry</a></td>",<td>17 139 €</td>,"<td>29,58 %</td>","<td>7,52 %</td>","<td>1 892,93 €</td>","<td>76,49 %</td>",<td>732 entreprises</td>,<td>nc</td>,"<td>28,39 %</td>",<td>14 487 hab.</td>
